company,title,description,url,published_at,content,sentiment_polarity,sentiment_neg,sentiment_neu,sentiment_pos
Apple,Apple’s AirPods Max with USB-C will soon support lossless audio,"Apple is bringing higher-fidelity audio to its AirPods Max headphones in April, the company announced today. When the $549 headphones switched to a USB-C connector last year, they lost support for wired audio playback — but it seems like Apple is about to rec…",https://www.theverge.com/news/634506/apple-airpods-max-lossless-audio-low-latency-usb-c,2025-03-24,"is a senior reviewer who has worked at The Verge since its founding in 2011. His coverage areas include audio (Sonos, Apple, Bose, Sony, etc.), home theater, smartphones, photography, and more.

Apple is bringing higher-fidelity audio to its AirPods Max headphones in April, the company announced today. When the $549 headphones switched to a USB-C connector last year, they lost support for wired audio playback — but Apple is about to rectify that with full lossless support, which even the prior Lightning model technically lacked.

“With the included USB-C cable, users can enjoy the highest-quality audio across music, movies, and games, while music creators can experience significant enhancements to songwriting, beat making, production, and mixing,” the company wrote in a press release on Monday. “With this update, AirPods Max will unlock 24-bit, 48 kHz lossless audio, preserving the integrity of original recordings and allowing listeners to experience music the way the artist created it in the studio.” Lossless support “extends to Personalized Spatial Audio,” Apple noted.

Aside from richer sound, the new update enables ultra low latency on the AirPods Max, which makes them better suited for music production, gaming, and live streaming purposes, according to the company.

The firmware update will roll out alongside iOS 18.4, iPadOS 18.4, and macOS Sequoia 15.4 sometime in April. You can use a USB-C to USB-C cord for lossless audio, but Apple is also now selling a $39 USB-C to 3.5mm audio cable that shares the same braided design as its other recent cables.

The previous edition of the AirPods Max with a Lightning connector don’t offer true “lossless” playback because of a signal conversion that occurs whenever a wired audio source is used. It’s still better quality than you’d get listening over Bluetooth, however.",0.9904,0.013,0.854,0.133
Apple,Trump’s confusing crusade against Big Tech,"President Trump wanted to ban TikTok. Now he wants to save TikTok. There might even be a plan to save TikTok, though right now it feels more like a âconcepts of a planâ situation. Meanwhile, the Trump administration continues to press hard on regulating B…",https://www.theverge.com/the-vergecast/633757/trump-big-tech-tiktok-ftc-siri-vergecast,2025-03-21,"After all that, it’s time for some policy talk. The Verge’s Lauren Feiner joins the show to explain the latest on the TikTok ban, the state of the Broadband Equity, Access, and Deployment program, what is happening at the FTC, why Brendan Carr continues to be the way he is, the fight over AI copyright, and much more.",-0.7351,0.1,0.9,0.0
Apple,"Rare Apple-1 Computer Sells for $375,000","A rare, operational Apple-1 Computer was recently put up for auction, and it ended up selling for $375,000. The Apple-1 was the first computer sold by Apple co-founders Steve Jobs and Steve Wozniak, and so few remain that they fetch high prices at auction.


…",https://www.macrumors.com/2025/03/21/apple-1-computer-375000/,2025-03-21,"A rare, operational Apple-1 Computer was recently put up for auction, and it ended up selling for $375,000. The Apple-1 was the first computer sold by Apple co-founders Steve Jobs and Steve Wozniak, and so few remain that they fetch high prices at auction.



The Apple-1 that sold is known as the ""Bayville"" Apple-1, and it is number 91 on the Apple-1 Registry. The Apple-1 Registry aggregates all known remaining Apple-1 computers, and it includes details and a history for each one. The registry has 104 Apple-1 machines listed.

The Bayville Apple-1 was part of the first batch of Apple-1 machines sold in 1976, and it has a handwritten serial number that was likely penned by Steve Jobs. It was sold with an original manual with a handwritten note by Daniel Kottke, who was Apple employee number 12.

The Apple-1 was sold alongside many other Apple-related items as part of a ""Steve Jobs and the Apple Revolution"" auction event. A 1976 Apple Computer check signed by Steve Jobs sold for $112,054, and a sealed, first-generation 4GB iPhone sold for $87,514.



Another check signed by Steve Jobs sold for $62,500, and an Apple Lisa Computer sold for $56,818. The auction earned a total of $1,308,251.",0.4939,0.0,0.97,0.03
Apple,Opening iOS is good news for smartwatches,"Look at every smartwatch buying guide on the internet. I guarantee they’re either divided into separate guides for iOS and Android, like The Verge’s, or include categories like “Best for iPhone owners” or “Best for Android.” (Also, like The Verge’s fitness tr…",https://www.theverge.com/news/633765/ios-eu-interoperability-smartwatches-headphones,2025-03-21,"Look at every smartwatch buying guide on the internet. I guarantee they’re either divided into separate guides for iOS and Android, like The Verge’s, or include categories like “Best for iPhone owners” or “Best for Android.” (Also, like The Verge’s fitness tracker guide.) It wasn’t always this way.

Five years ago, you could buy a Samsung or Fossil smartwatch and use it with an iPhone. The problem was it was never quite as good. Apple Watches were superior, not only because they could seamlessly connect with your Mac and AirPods, but you could also send quick replies to texts. Other third-party smartwatches couldn’t do all that.

Losing the ability to interact with other devices was hardly a deal breaker — it’s not that hard to go through the regular Bluetooth pairing process. But most people view smartwatches as an easy way to stay connected without glancing at their phones. Losing quick replies because you might prefer the look or features of a third-party device? For many people, it’s a tradeoff that doesn’t make sense. For years, I’d ask device makers why this feature wasn’t available. Every single time, from companies large and small, the answer was that Apple didn’t allow it. So, I was hardly surprised when Android smartwatch makers started kissing iOS goodbye in 2021 with Wear OS 3. In the years since, the number of platform-agnostic wearable makers continues to dwindle.

This is a big reason why it’s a good thing that the European Commission recently gave Apple marching orders to open up iOS interoperability to other gadget makers. You can read our explainer on the nitty gritty of what this means, but the gist is that it’s going to be harder for Apple to gatekeep iOS features to its own products. Specific to smartwatches, Apple will have to allow third-party smartwatch makers to display and interact with iOS notifications. I’m certain Garmin fans worldwide, who have long complained about the inability to send quick replies on iOS, erupted in cheers.

Apple, and at least one tech publication, has decried this decision as hindering Apple’s ability to innovate. In a statement, Apple spokesperson Marni Goldberg told The Verge that it will force the company to “give away our new features for free to companies who don’t have to play by the same rules.”

But the last few years have been fairly lackluster for smartwatch innovation. Samsung blatantly copied Apple in its 2024 smartwatch lineup with the Galaxy Watch Ultra and Galaxy Watch FE. Google has mostly stuck to refining the Pixel Watch. Apple introduced an Ultra model in 2022, but otherwise, last year’s Series 10 was another iterative update. The Ultra 2 only got a new color. (Even though that color was sick as hell.) In the wearables world, smartwatches are kind of… just there.

These days, I receive far more queries about smart rings and smart glasses — because everyone knows that if you have an iPhone, you get an Apple Watch, and if you have an Android, you get a Galaxy Watch or a Pixel Watch. (Maybe a OnePlus Watch 2 or 3 if you really care about battery.) If you’re an endurance athlete, you get a Garmin. There’s not much incentive for any of these companies to zhuzh up designs or think out of the box when ecosystem lock-in all but ensures they don’t have to. There’s no urgency. The result is smartwatches have become boring as we wait for the next Big Health Feature to get FDA clearance. I long for the weird, frenetic excitement of 2014-2020 era smartwatches. Instead, I have a hard time believing 2025 smartwatches will be much different from last year’s. (For the record, I would love to be proven wrong.)

Fans of walled gardens have to admit it doesn’t always work out. The Powerbeats Pro 2 ought to be a cautionary tale of how the “it just works” philosophy can backfire. Despite being an Apple product, Android users actually have more choice when it comes to how they use the Pro 2. On iOS, the heart rate feature is limited to seven apps and users must choose between monitoring heart rate or listening to tunes when connected to gym equipment. Android users have no such limitations. Do the Powerbeats Pro 2 work more seamlessly on the iOS apps it does support? Yes. But that’s not important to everyone. Some people just want the ability to choose how they use the products they buy.

The bottom line is the EU’s move improves a consumer’s ability to pick the best smartwatch for their needs regardless of their phone. There’s no reason a grizzled marathoner who prizes in-depth training metrics, free coaching plans, and monthlong battery life should have to get an Apple Watch Ultra over a Garmin just because they also want to have quick replies. I’ll admit that it is mind-numbingly convenient and pleasant to stay in one ecosystem. But if the Apple Watch is truly the best smartwatch out there, it should be able to defend that title even if third parties have access to iOS notifications.",0.9985,0.057,0.787,0.156
Apple,Apple TV Plus is reportedly losing $1 billion per year,"Apple TV Plus is losing more than $1 billion every year despite reaching 45 million subscribers in 2024, according to a report from The Information. It’s reportedly the only Apple subscription that isn’t generating a profit. As part of an effort to take “a ha…",https://www.theverge.com/news/633591/apple-tv-plus-losing-1-billion,2025-03-20,"is a news writer who covers the streaming wars, consumer tech, crypto, social media, and much more. Previously, she was a writer and editor at MUO.

Apple TV Plus is losing more than $1 billion every year despite reaching 45 million subscribers in 2024, according to a report from The Information. It’s reportedly the only Apple subscription that isn’t generating a profit.

As part of an effort to take “a harder line on spending,” Apple cut its initial $5 billion budget for Apple TV Plus content by around $500 million, The Information reports. Even with hit original shows like Severance, Apple TV currently captures less than 1 percent of total monthly streaming services viewership, as opposed to Netflix’s 8.2 percent, according to data from Nielsen cited by The Information.

But, as noted by The Information, Apple TV Plus was largely created to keep people in the Apple ecosystem. Netflix co-CEO Ted Sarandos touched on the strategy behind Apple TV Plus during an interview with Variety this week, saying “I don’t understand it beyond a marketing play, but they’re really smart people. Maybe they see something we don’t,” he said.

Apple TV Plus is part of the company’s broader services business, which makes Apple billions of dollars each year through iCloud Plus, App Store purchases, and search advertising. Sources also told The Information that Apple Music, which reportedly reached 100 million users on subscriptions and free trials last year, has seen a slowdown in growth.

Apple News Plus, Fitness Plus, and Apple Arcade also “struggle with low usage and profits,” while sales of digital books have taken a dip as well, The Information reports. Sources tell the outlet that if these services weren’t included in the company’s Apple One bundle, which people mostly buy for iCloud Plus, they “likely wouldn’t be profitable.” Apple reportedly laid off around 100 people in its News and Books division last year.

The Verge reached out to Apple with a request for comment but didn’t immediately hear back.",0.967,0.027,0.885,0.088
Apple,"The beautiful, retro tech of two theatrical sound designers","When asked what they do for work, creative couple Jessie Char and Maxwell Neely-Cohen should probably just say âyes.â True professional multihyphenates, Charâs gig history includes stints as a UI/UX designer, conference organizer, concert cellist, and A…",https://www.theverge.com/tech/631922/sound-design-interview-hardware-music-home,2025-03-20,"is creative director, managing art and design for The Verge. Since joining in 2021, her work has won ASME design and American Illustration awards.

When asked what they do for work, creative couple Jessie Char and Maxwell Neely-Cohen should probably just say “yes.” True professional multihyphenates, Char’s gig history includes stints as a UI/UX designer, conference organizer, concert cellist, and Apple Genius; Neely-Cohen is a novelist, ballet dancer, and coeditor of the experimental literary journal The HTML Review. Together, they’ve built everything from a real-life version of Cher Horowitz’s Clueless closet to the sound design of a play with over 200 original sound cues.

I asked them for a tour of the tech in their Williamsburg, Brooklyn, loft, where they regularly host literary salons, violin performances, and film industry mixers. We chatted about their shared reverence for old hardware, live coding, how they find comedy in sound, and why they’ll never install a smart light switch.

Max selects a record from the couple’s well-organized vinyl collection using a pair of multisided dice. The couple developed a game where house rules dictate whatever record is pulled must be played from start to finish.

A de Sede DS-600 movable couch is the main furniture piece of the sitting area in their Williamsburg loft.

How did you two meet?

Max Neely-Cohen: It was at a Zoom reading group at the very beginning of the pandemic. We were reading Expanded Cinema [by Gene Youngblood] with a group of mostly designers and artists.

Jessie Char: The book was about the early history of computer art and animation.

And then what? Someone slid into the other’s DMs?

MNC: First we stayed long on the Zoom call—

JC: Until everybody peeled off and then it was just us. So, we hung out on Zoom for a few hours, and then I slid into his DMs on Instagram right after.

MNC: I mean, she beat me by seconds.

JC: But there is another cute thing, which is the Color Chat app.

MNC: It’s this really cool art project where you could only communicate with each other by sending color swatches. You would select from this big rainbow wheel, and then it would send it and it would name the color. And I would send a lot of unintentionally flirty colors. I swear to God, I sent one that was “lipstick red” and then another that was just “passionate fire.” But it was also accurate. So, we would kind of joke about it, but it was also extremely real flirting.

The first-floor bathroom’s tunes are played via an iPod connected to 2004 Harman Kardon SoundSticks speakers.

And then Jessie, who was living in San Francisco, moved to New York?

JC: The first time I visited Max was November of 2020, and I was supposed to stay for a couple of weeks, but there was another covid wave, so I didn’t want to fly. And basically, I just stayed forever.

What were you both up to creatively at the time?

JC: I was in the middle of losing my career. I used to produce a design conference that took place at the same time as Apple’s developer conference, WWDC. It was the kind of little sister conference of WWDC. And [when covid hit], obviously conferences stopped happening. So I was kind of floating through life trying to figure out what to do next. [I was] still doing design contract work, but I had kind of lost my big thing. I was still freelancing, but it wasn’t anything fun. I actually can’t remember the first creative thing that I did when I came to New York.

MNC: It was live coding.

Tell me about that.

MNC: It’s this still-emerging practice where you can perform music, visual art, all sorts of things, through writing code and executing it onstage. If you really think about it, all music involves manipulating machines that the audience mostly doesn’t know and understand. Like, I don’t know how a saxophone works. So this is a similar thing, where you’re basically up there with these custom-made languages that make everything faster, performing music with the code you’re writing.

A mechanical keyboard fan. Max has an array of keyboard caps. On a shelf in the kitchen is a painting of their cat, Detective Blueberry, by Jessie, who is also a wonderful cook. The couple enjoy hosting gatherings, often with friends and collaborators.

How did you both learn to code?

JC: In the GeoCities days, pre-Neopets HTML, is what we’re talking about. As an adult, even though I was living in the Bay Area and working in tech, I never actually coded for work or fun really. It was just this thing that I knew how to do from when I was a kid.

MNC: I didn’t ever code for any other reason than that I wanted to make a weird thing, and then it evolved to learning how to do weird projection art, and I just needed to learn different things for very specific projects.

JC: And I was making Spice Girls fan pages [as a kid].

MNC: Live code was kind of my first foray back into learning a new coding language. Kind of remembering that I have this framework for how to program things.

Which coding language?

MNC: ORCA.

Like the whale?

MNC: Like the whale.

JC: And I really wanted to impress Max. So I learned a programming language to impress him—

MNC: She learned it within days.

Max’s collection of synthesizers. An homage to Nam June Paik’s “TV Garden” sits under the stairs at the edge of the living room. Images on the CRT TVs are responsive to the sounds created at the console to its left.

How did you transition from live coding to working as sound designers in theater?

JC: The writers strike.

MNC: Yeah, because of all the strikes. We didn’t know what would happen with the directors guild at that point. A lot of our friends, who were mostly working in TV and film but were trained in theater, started getting jazzed about theater projects because [the writers strike didn’t affect theater]. So our dear friend Maia [Novi] came to us and said, “I have a play. I want you all to sound design it.”

JC: She was like, “You’re both good at computers and music.” And we had no idea [what sound design was]. We were like, “Yeah, we’ll get some bug sound effects and play them on a laptop.” We had no idea how the process worked, what the software was, but we kind of figured it all out on the job and really fooled everybody into believing in our competence. Since that first run of Invasive Species, where we had no idea what we were doing, we’ve basically been working in theater nonstop for the past two years.

So how did you approach the sound for Invasive Species? What did that process actually look like?

JC: I think that Max and I have the tendency to take things to their absolute furthest ends when we have the means to do it. So instead of it just being the sound effect of a bug flying around, it turned into basically a fully scored play where we wrote an underscore for the whole thing.

What’s an underscore?

MNC: Just music that plays underneath the play. It isn’t just one-hit sound effects, like a door slamming or whatever. It’s music that the actors would kind of choreograph themselves to and work with, and [it requires] sophisticated queuing setups, which is kind of a form of programming in QLab.

How long did it take you to write?

MNC: Two weeks.

You wrote the whole score of a show in two weeks? Is that normal?

JC: Theater is normally pretty fast, but we didn’t know any better. And I think, realistically, a typical sound designer probably does about 1/20th of what we ended up putting out because we just didn’t know what the world expected of this. We just went really, really hard.

How are you assembling the sound that gets included? Are you making music? Are you sampling?

MNC: Yeah, all of it. We were mostly making music through every way available to us. This is a little different from Jessie, but my most successful things as a theatrical sound designer have been the things I’ve made as jokes that then end up in the show.

A homemade cardboard tank for Detective Blueberry. Detective Blueberry fan art.

Does it feel funny in the show or does it feel like it’s a joke that only you get?

MNC: No, it’s not that it’s a joke in the show. It’s just that, in whatever rehearsal and then tech process, I’m like, “Wouldn’t it be funny if I made this?” And at that moment, I don’t know if it’s actually going to be good, right?

JC: But there is a lot of comedy in the sound. I think that we do have a sense for how to infuse a very specific type of comedy into the sound design. It’s not like it’s a rubber chicken and spring boingy sounds; it’s not cartoonish in any way. But I think that the sound design is able to capture a lot more of the writing and storytelling.

So you’re doing a lot of theater work together. Are you collaborating in other ways?

JC: I want to say yes, but I have to think of what collaborations are. Aside from our entire lives together.

Jessie and Max worked with Automatic Audio in Montreal to customize their sound system.

Let’s talk about your individual creative interests. Max, you have two highly specific titles on your resume: a fellow at the Harvard Law School Library Innovation Lab and a consulting dramaturge at the New York Choreographic Institute at the New York City Ballet. You should probably start by telling me what a dramaturge is.

MNC: It’s a great question. A dramaturge in dance, opera, or theater is a person who helps develop the themes and narrative qualities of the piece, kind of across departments. Particularly in dance or opera, there isn’t the same relationship between director and writer. There are all these departments making all this art, and it can be really helpful to have someone who’s almost taking on the mantle of: What is the audience going to see? What are they going to take from this, and how does that affect the story and its structure?

Tell me about your approach to technology in your home.

JC: We are really specific about it, aren’t we?

MNC: Yeah. We hate any smart home things. We banned them.

Many of Max and Jessie’s retro gaming devices are still in working order. A Tetris power user, Jessie has her Game Boy models and the original Tetris game cartridge in the couple’s vintage collection.

What do you dislike about smart home tech?

JC: I think that with the rise of the internet and Wi-Fi, a lot of companies that make software rely on the fact that they can just keep releasing updates. And I don’t want to have to do a software update on my light switches or my refrigerator. I just really like things that are guaranteed to work and are fixable because I know how to do hardware repairs — I have certifications for it — and I like knowing that if something isn’t working properly, I can personally address the issue. But so many smart home devices are proprietary; they are inaccessible, and that worries me a little bit.

MNC: Yeah, we were not going to buy toilets that we could not fix ourselves.

JC: Because toilets are technology!

MNC: Likewise, the speakers we have, we wanted to make sure that we could always open them up and solder the wires back together. Which is not true of a Bose soundbar.

JC: I just see technology as a really wonderful tool. I don’t see it as an assistant, and I think that’s the kind of distinction that I like making. Anything that I can use as a tool, I absolutely love, and anything that’s trying to help me in some way isn’t as useful to me.

An homage to Nam June Paik’s “TV Garden” sits under the stairs at the edge of the living room. Images on the CRT TVs are responsive to the sounds created at the console to its left.

Tell me about your TV garden and your synthesizer library.

MNC: It was an evolution that began in the last apartment we lived in, which started before we met when I wanted to put all the instruments I owned on one rack. So, the first version was actually a beat-up dish drying rack from a supermarket that got discarded. The setup we have now is driven by this principle of being able to flip one switch and everything turns on. We can use it for professional stuff, but an eight-year-old kid can also start making sound with it right away.

It’s a place for play.

MNC: It’s a place for play. And the TVs were a way for us to have this little visual synthesizer in a fun way. Given the space under the stairs, we didn’t want it to just be a bunch of televisions on the floor, so we designed it as an homage to Nam June Paik’s “TV Garden.”

Cable management goals. Jessie taps on the Arturia Keylab 61 in her office.",0.9997,0.027,0.851,0.122
Apple,Apple Facing False Advertising Lawsuit Over Apple Intelligence Delay,"Apple has been accused of false advertising and unfair competition for delaying the Siri Apple Intelligence features that it promoted when launching iOS 18 and the iPhone 16 models, reports Axios.





The suit targets Apple ads that showed off ‌Siri‌ feature…",https://www.macrumors.com/2025/03/20/apple-intelligence-siri-lawsuit/,2025-03-20,"Apple has been accused of false advertising and unfair competition for delaying the Siri Apple Intelligence features that it promoted when launching iOS 18 and the iPhone 16 models, reports Axios.



The suit targets Apple ads that showed off ‌Siri‌ features that were unavailable, and claims that Apple cultivated ""a clear and reasonable consumer expectation that these transformative features would be available upon the iPhone's release,"" while also driving ""unprecedented excitement"" that convinced millions consumers to upgrade their devices when the upgrades were not necessary.

After confirming that the ‌Siri‌ features would be delayed until the coming year, Apple removed the ads, but that was after they had been running for several months. Apple is accused of advertising functionality that did not exist, and continuing to promote the ‌Siri‌ capabilities well after the company was aware that they would not be available on time.



Contrary to Defendant's claims of advanced AI capabilities, the Products offered a significantly limited or entirely absent version of Apple Intelligence, misleading consumers about its actual utility and performance. Worse yet, Defendant promoted its Products based on these overstated AI capabilities, leading consumers to believe they were purchasing a device with features that did not exist or were materially misrepresented.

The lawsuit was filed in a San Jose, California court and the plaintiffs are seeking class action status along with damages for customers who purchased an Apple device that supports ‌Apple Intelligence‌.",0.4767,0.09,0.805,0.105
Apple,"Ditch Your Apple Watch, The Galaxy Watch Ultra Is Now 50% Off on Samsung’s Store",Nothing to trade in? Samsung's also offering $230 of instant credit and phenomenal deals on accessories when you buy the brand-new Galaxy Watch Ultra.,https://gizmodo.com/ditch-your-apple-watch-the-galaxy-watch-ultra-is-now-50-off-on-samsungs-store-2000578493,2025-03-20,"When Samsung dropped the Galaxy Watch Ultra last July, it was instantly compared to the Apple Watch Ultra 2 which had come out several months earlier. In fact, we compared them directly, and basically ruled this clash of flagship smartwatches to be a draw in terms of quality and performance. But when Samsung decides to make the Galaxy Watch Ultra available for as little as $325 with trade-in credit or $420 without (down from $649), suddenly the Apple Watch Ultra 2 is looking very pricey indeed.

See at Samsung.com

If you’re able to max out the trade-in credit from Samsung and get the full $325 they’re offering, the Galaxy Watch Ultra comes in at less than half the price of the Apple Watch Ultra 2, basically making the choice for you. Even without a trade-in, the $230 in instant savings currently offered by Samsung makes the Galaxy Watch Ultra more affordable than the Apple Watch Ultra 2 by over $350. Either way, Samsung’s further sweetening the pot with great discounts on accessories, like 61% off a pair of Galaxy Buds3 or 41% off the Galaxy Buds3 Pro.

It Loves a Workout

Samsung has packed the Galaxy Watch Ultra with advanced fitness-tracking technology so it can go toe-to-toe with the vaunted Health app of the Apple Watch lineup. The Galaxy AI-powered heart-rate monitor eliminates inaccuracies caused by motion, providing exceptionally precise readings. The Galaxy Watch Ultra also delivers VO2 Max measurements, estimated sweat loss, and performance tracking for runners and cyclists, allowing you to compare previous workouts and gauge improvements over time.

This is the watch for you if you’re a hardcore adventurer and/or watersports enthusiast, because it can take anything dished out by your active lifestyle. The titanium case of the Galaxy Watch Ultra is ultra-durable, and engineered to keep up with your toughest workouts. With 10 atmospheres of water resistance, it’s ideal for swimmers, divers, and kayakers, while hikers and climbers will appreciate enhanced GPS tracking and turn-by-turn navigation that ensures you never lose your way.

See at Samsung.com

The Numbers Don’t Lie

You won’t have to worry about the Galaxy Watch Ultra’s battery running out at inopportune times — it has the longest battery life of any Samsung smartwatch to date. That means after it tracks your toughest workout, you’ll be ready for bed and the Galaxy Watch Ultra will still be up and running to monitor your sleep quality.

Unless you have extreme brand loyalty to the Apple Watch or other fitness-oriented wearable, the option to buy Samsung’s newest flagship smartwatch for well under half the price of the Apple Watch Ultra 2 when you max out the $325 trade-in credit offer is hard to pass up on, especially when you consider they are basically neck-and-neck in terms of performance. Even with no trade in, the $420 price with instant credit makes the Galaxy Watch Ultra the clear choice.

See at Samsung.com",0.9957,0.026,0.843,0.131
Apple,8 TV Shows and Movies to Watch After You Finish Severance,"Hopefully it won't be another long gap between seasons for the Apple TV+ series, but you're definitely going to have some time to fill.",https://gizmodo.com/what-to-watch-if-you-like-severance-streaming-2000577595,2025-03-19,"The Severance season two finale is this week, making this both a thrilling and devastating moment for its devoted fans. Finally, some answers (maybe?) about all those lingering mysteries! But also, the end of our weekly supply of Lumon-induced drama, romance, freakiness, and quirky comedy, until such time as a yet-to-be-confirmed third season arrives! To help your tempers recalibrate when Severance wraps up, here are eight TV shows and movies that might help fill the yawning void it will leave behind.

Dark Matter

You don’t even have to exit the Apple TV+ app for Dark Matter. It’s based on Blake Crouch’s book about a man who unwittingly dives into the ultimate “what if?” scenario when he’s kidnapped by a different version of himself, then forced into an unfamiliar version of his life’s timeline. Like Severance, it explores themes of how wildly divergent personalities can evolve from a single person—and involves weird tech that seems like a pretty cool invention until the horrible consequences start making themselves known. Joel Edgerton is less endearing of a hero than Severance‘s Adam Scott, but you’ll still want to root for him to reunite with his beloved, played by Jennifer Connelly. The first season is available for streaming now; a second season is on the way.

Devs

Do you long for more workplace weirdness after all those Lumon elevator rides? Devs, created, written, and directed by Alex Garland (who’s best-known for his big-screen credits: Ex Machina, Annihilation, Civil War, the upcoming 28 Years Later) takes place at a mysterious tech company with sci-fi leanings (much like Severance) and involves a murder mystery (also much like Severance). It also has the Severance-like quality of boasting a killer cast, including Nick Offerman, Sonoya Mizuno, Cailee Spaeny, Alison Pill, and others. You can watch its eight-episode single season on Hulu.

Black Mirror

Quite obviously, Black Mirror and Severance have some thematic echoes, chief among them that tech can be scary—especially if its inventor or wielder has cult-like aspirations and/or fancies themselves to be a god. Just as Severance season two began to wrap up, Netflix announced the star-studded seventh season of Charlie Brooker’s dystopian standard-bearer will drop April 10. You can also stream the previous six Black Mirror seasons in case you want to experience something bleaker than our current reality in the meantime.

Westworld

At this point, it’s less and less likely we’ll ever get that fifth season Westworld‘s creators have teased in the past. But really, the four seasons we did get remain some of sci-fi television’s finest hours, exploring a world where robots are so lifelike their AI slips into the realm of the fully sentient—with the added bonus of imaginative settings (a Wild West playground for rich people, a futuristic city where humans have fallen under robot control) and an incredible cast, including Evan Rachel Wood, Jeffrey Wright, and Thandiwe Newton. The only thing we can fault Westworld for isn’t the doing of the show itself; HBO yanked it from streaming a few years back, so you’ll have to fork out extra dollars to rent or buy it on streaming (Prime Video has it), or purchase the complete series on Blu-ray, DVD, or 4K UHD.

Fingernails

Jessie Buckley, Jeremy Allen White, Luke Wilson, and Riz Ahmed star in this offbeat sci-fi romance—made for Apple TV+—set in a world where technology has supposedly cracked the formula of true love. Adding to the Severance factor, it’s actually set within the awkward confines of the Love Institute, the company that administers the test. When Buckley’s character takes a job there, she soon begins to question her own relationship, as well as whether or not the Love Institute is actually helping or hurting people.

Coherence

A group of friends and frenemies gather for a dinner party the night a comet just happens to be passing through the night sky—and reality jumbles as a result, with versions of the guests wandering in from different parallel realities. It’s a gripping sci-fi thriller that proves you don’t need a big budget or even more than one set, really, to tell an entertainingly original story, and it’s also perfect viewing for anyone who found themselves second-guessing Severance‘s Helena/Helly R. twist. Coherence is widely available on streaming, including Peacock and Prime Video.

The One I Love

Doppelgangers—the classic physically separate kind, unlike Severance‘s one body/multiple minds variety—complicate this tale of a couple (Mark Duplass, Elisabeth Moss) whose attempt to mend their relationship with a romantic getaway takes a very surreal twist. Ted Danson, who makes everything better, plays their therapist. Streaming free with ads on Prime Video.

Bliss

Owen Wilson and Salma Hayek star in this Prime Video feature from Mike Cahill (Another Earth, I Origins) that puts a romantic spin on a classic sci-fi plot: what if everything you think is real is just a simulation? Bliss also offers a thoughtful exploration of what it means to appreciate what you have in life—while also learning to accept the grimier stuff you’d rather just delete with the ease of a keystroke. Streaming on Prime Video.

Honorable mention: Made for Love

This sci-fi series that ran on what was then HBO Max in 2021-2022 starred Cristin Milioti (The Penguin, Black Mirror) as a woman whose attempts to escape her dysfunctional marriage to an eccentric tech billionaire (Billy Magnussem) are complicated by the fact that she has a chip designed to spy on every aspect of her life, including her emotions, implanted in her brain. Made for Love was delightfully original and would absolutely fit in with a Severance-adjacent streaming binge, except it’s no longer available on Max— and is in fact not streaming legally anywhere. It also, frustratingly, never got a physical media release.",0.9991,0.065,0.758,0.176
Apple,Apple has revealed a Passwords app vulnerability that lasted for months,"Apple fixed a bug in the iOS 18.2 Passwords app that, for three months starting with the release of iOS 18, made users vulnerable to phishing attacks, according to an Apple security content update spotted by 9to5Mac. Here’s how Apple describes the bug and its…",https://www.theverge.com/news/632108/apple-ios-passwords-app-bug-vulnerability-phishing-attacks,2025-03-18,"is a weekend editor who covers the latest in tech and entertainment. He has written news, reviews, and more as a tech journalist since 2020.

Apple fixed a bug in the iOS 18.2 Passwords app that, for three months starting with the release of iOS 18, made users vulnerable to phishing attacks, according to an Apple security content update spotted by 9to5Mac.

Here’s how Apple describes the bug and its fix:

Impact: A user in a privileged network position may be able to leak sensitive information Description: This issue was addressed by using HTTPS when sending information over the network.

As 9to5Mac writes, the Passwords app was sending unencrypted requests for the logos and icons it shows next to the sites your stored passwords are associated with. The lack of encryption meant an attacker on the same Wi-Fi network as you, like at an airport or coffee shop, could redirect your browser to a look-a-like phishing site to steal your login credentials. It was first discovered by security researchers at app developer Mysk.

In the description of the below YouTube video demonstrating the bug, Mysk writes that it first reported the vulnerability in September. Apple describes the same bug in security content updates for the Mac, iPad, and the Vision Pro, as well.",0.0516,0.078,0.84,0.083
